Performance Curve for V=9.00 created with QBlade CMD interface on 21.03.2018 at 20:43:03
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		11.459		0.002		0.371		0.021		0.002		33.104		1.393
0.200		22.918		0.004		0.374		0.022		0.004		33.380		1.460
0.300		34.377		0.007		0.380		0.023		0.005		33.966		1.527
0.400		45.837		0.010		0.390		0.024		0.008		34.866		1.603
0.500		57.296		0.013		0.404		0.026		0.010		36.114		1.716
0.600		68.755		0.016		0.422		0.026		0.013		37.652		1.769
0.700		80.214		0.019		0.442		0.027		0.015		39.444		1.817
0.800		91.673		0.022		0.463		0.028		0.018		41.341		1.878
0.900		103.132		0.027		0.485		0.030		0.022		43.302		1.994
1.000		114.592		0.033		0.508		0.033		0.027		45.398		2.244
1.100		126.051		0.042		0.534		0.039		0.034		47.686		2.579
1.200		137.510		0.054		0.566		0.045		0.043		50.536		2.998
1.300		148.969		0.067		0.600		0.051		0.054		53.538		3.438
1.400		160.428		0.082		0.636		0.059		0.066		56.824		3.920
1.500		171.887		0.105		0.674		0.070		0.084		60.202		4.667
1.600		183.346		0.140		0.724		0.087		0.112		64.683		5.841
1.700		194.806		0.173		0.772		0.102		0.139		68.971		6.802
1.800		206.265		0.209		0.828		0.116		0.168		73.958		7.779
1.900		217.724		0.247		0.891		0.130		0.199		79.562		8.708
2.000		229.183		0.282		0.958		0.141		0.227		85.541		9.459
2.100		240.642		0.356		1.065		0.169		0.286		95.108		11.352
2.200		252.101		0.377		1.125		0.171		0.303		100.480		11.473
2.300		263.561		0.346		1.134		0.151		0.278		101.270		10.088
2.400		275.020		0.334		1.165		0.139		0.269		104.022		9.328
2.500		286.479		0.312		1.181		0.125		0.251		105.437		8.368
2.600		297.938		0.292		1.192		0.112		0.234		106.463		7.513
2.700		309.397		0.269		1.196		0.100		0.216		106.833		6.678
