Performance Curve for V=14.00 created with QBlade CMD interface on 23.03.2018 at 06:07:51
TSR		OMEGA		CP		CT		CM		POWER		THRUST		TORQUE
0.100		17.825		0.002		0.371		0.022		0.007		80.156		3.566
0.200		35.651		0.005		0.374		0.023		0.014		80.871		3.744
0.300		53.476		0.007		0.381		0.024		0.022		82.296		3.842
0.400		71.301		0.010		0.392		0.026		0.031		84.626		4.214
0.500		89.127		0.014		0.406		0.027		0.041		87.695		4.441
0.600		106.952		0.017		0.424		0.029		0.052		91.567		4.620
0.700		124.777		0.021		0.445		0.030		0.064		96.153		4.876
0.800		142.603		0.025		0.466		0.031		0.075		100.616		5.006
0.900		160.428		0.030		0.488		0.034		0.092		105.349		5.483
1.000		178.254		0.039		0.510		0.039		0.118		110.311		6.341
1.100		196.079		0.051		0.540		0.047		0.155		116.643		7.562
1.200		213.904		0.066		0.572		0.055		0.201		123.692		8.963
1.300		231.730		0.082		0.609		0.063		0.248		131.538		10.232
1.400		249.555		0.100		0.643		0.072		0.304		138.965		11.615
1.500		267.380		0.133		0.686		0.089		0.402		148.190		14.362
1.600		285.206		0.168		0.735		0.105		0.508		158.819		17.002
1.700		303.031		0.201		0.784		0.118		0.609		169.464		19.198
1.800		320.856		0.242		0.844		0.134		0.732		182.439		21.784
1.900		338.682		0.277		0.905		0.146		0.836		195.663		23.585
2.000		356.507		0.333		0.996		0.166		1.007		215.234		26.981
2.100		374.332		0.381		1.077		0.182		1.154		232.679		29.431
2.200		392.158		0.363		1.089		0.165		1.098		235.267		26.738
2.300		409.983		0.347		1.104		0.151		1.050		238.649		24.464
2.400		427.808		0.336		1.128		0.140		1.016		243.852		22.670
2.500		445.634		0.316		1.136		0.126		0.956		245.509		20.496
2.600		463.459		0.299		1.148		0.115		0.905		248.089		18.645
2.700		481.285		0.282		1.160		0.104		0.852		250.654		16.912
